256	41879.54
512	58622.57
1024	116532.92
2048	34404.92
4096	75079.61
8192	160997.92
16384	349966.29
32768	754186.6
65536	1659572.09
131072	3642839.56
262144	7626853.73
524288	1.587985836E7
1048576	3.380511331E7
